
[Sun Sep 06 21:02:05.641410 2020] [php7:notice] [pid 6834] [client 127.0.0.1:56392] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/index.php?x=-1&y=-4&radius=1&check=check
[Sun Sep 06 21:02:05.641458 2020] [php7:notice] [pid 6834] [client 127.0.0.1:56392] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/index.php?x=-1&y=-4&radius=1&check=check
[Sun Sep 06 21:02:46.372020 2020] [php7:notice] [pid 6824] [client 127.0.0.1:56394] PHP Notice:  Undefined index: x in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 129
[Sun Sep 06 21:02:46.372051 2020] [php7:notice] [pid 6824] [client 127.0.0.1:56394] PHP Notice:  Undefined index: radius in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 130
[Sun Sep 06 21:02:46.372061 2020] [php7:notice] [pid 6824] [client 127.0.0.1:56394] PHP Notice:  Undefined index: y in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 131
[Sun Sep 06 21:02:53.518782 2020] [php7:notice] [pid 6827] [client 127.0.0.1:56396] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/
[Sun Sep 06 21:02:53.518816 2020] [php7:notice] [pid 6827] [client 127.0.0.1:56396] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/
[Sun Sep 06 21:03:12.858835 2020] [php7:notice] [pid 6825] [client 127.0.0.1:56398] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=2&y=-4&radius=3&check=check
[Sun Sep 06 21:03:12.858884 2020] [php7:notice] [pid 6825] [client 127.0.0.1:56398] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=2&y=-4&radius=3&check=check
[Sun Sep 06 21:03:53.310949 2020] [php7:notice] [pid 6844] [client 127.0.0.1:56400] PHP Notice:  Undefined index: x in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 129
[Sun Sep 06 21:03:53.310990 2020] [php7:notice] [pid 6844] [client 127.0.0.1:56400] PHP Notice:  Undefined index: radius in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 130
[Sun Sep 06 21:03:53.311000 2020] [php7:notice] [pid 6844] [client 127.0.0.1:56400] PHP Notice:  Undefined index: y in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 131
[Sun Sep 06 21:06:54.570284 2020] [php7:notice] [pid 6826] [client 127.0.0.1:56404] PHP Notice:  Undefined index: x in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 129
[Sun Sep 06 21:06:54.570320 2020] [php7:notice] [pid 6826] [client 127.0.0.1:56404] PHP Notice:  Undefined index: radius in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 130
[Sun Sep 06 21:06:54.570330 2020] [php7:notice] [pid 6826] [client 127.0.0.1:56404] PHP Notice:  Undefined index: y in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 131
[Sun Sep 06 21:07:06.149941 2020] [php7:notice] [pid 6828] [client 127.0.0.1:56406] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/
[Sun Sep 06 21:07:06.149985 2020] [php7:notice] [pid 6828] [client 127.0.0.1:56406] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/
[Sun Sep 06 21:08:13.093322 2020] [php7:notice] [pid 6825] [client 127.0.0.1:56414] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=3&y=-4.5&radius=5&check=check
[Sun Sep 06 21:08:13.093357 2020] [php7:notice] [pid 6825] [client 127.0.0.1:56414] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=3&y=-4.5&radius=5&check=check
[Sun Sep 06 21:26:17.084921 2020] [php7:error] [pid 6844] [client 127.0.0.1:57264] PHP Parse error:  syntax error, unexpected 'as' (T_AS), expecting ';' in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 105
[Sun Sep 06 21:26:58.338012 2020] [php7:error] [pid 6826] [client 127.0.0.1:57270] PHP Parse error:  syntax error, unexpected 'as' (T_AS), expecting ';' in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 105
[Sun Sep 06 21:27:23.036459 2020] [php7:notice] [pid 6828] [client 127.0.0.1:57272] PHP Notice:  Undefined index: x in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 129
[Sun Sep 06 21:27:23.036501 2020] [php7:notice] [pid 6828] [client 127.0.0.1:57272] PHP Notice:  Undefined index: radius in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 130
[Sun Sep 06 21:27:23.036516 2020] [php7:notice] [pid 6828] [client 127.0.0.1:57272] PHP Notice:  Undefined index: y in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 131
[Sun Sep 06 21:27:28.163584 2020] [php7:notice] [pid 6827] [client 127.0.0.1:57276] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/
